code,sex,readgrp,age1,age2,age3,age4,age5,speed3,speed4,speed5,basmat3,basmat4,basmat5,bassim1,bassim2,bassim3,bassim4,bassim5,basdig1,basdig2,basdig3,basdig4,basdig5,basnum1,basnum2,basnum3,basnum4,basnum5,basread1,basread2,basread3,basread4,basread5,basspel1,basspel2,basspel3,basspel4,basspel5,trog1,trog2,trog3,trog4,trog5,woco1,woco2,woco3,woco4,woco5,bpvs1,bpvs2,bpvs3,bpvs4,bpvs5
41B98BB62474,2,3,82,,,,,,,,,,,7,,,,,15,,,,,27,,,,,14,,,,,4,,,,,10,,,,,1,,,,,9,,,,
FC14A4F36268,1,3,92,106,117,129,,13,15,,6,11,,8,10,11,14,,12,13,15,16,,33,31,41,44,,6,21,28,45,,1,4,5,8,,10,15,16,18,,2,5,10,15,,19,19,21,21,
8D8986687131,1,3,86,,,,,,,,,,,7,,,,,19,,,,,26,,,,,50,,,,,12,,,,,13,,,,,11,,,,,13,,,,
5D8A64A1B03D,1,3,86,97,109,,,13,,,3,,,8,9,10,,,18,22,19,,,35,44,41,,,17,25,28,,,6,4,5,,,16,16,18,,,0,2,6,,,16,17,16,,
8E2253EAD75E,1,3,117,128,140,,,9,,,8,,,7,7,9,,,20,21,19,,,30,29,34,,,12,19,21,,,4,5,6,,,12,12,11,,,3,2,3,,,,15,20,,
0C2E9F5D382D,2,3,75,86,97,,,8,,,5,,,5,6,8,,,14,17,18,,,13,25,31,,,4,22,53,,,0,3,8,,,10,11,13,,,0,1,14,,,16,18,20,,
B80CEF1869CB,1,3,73,83,94,107,,7,12,,8,13,,8,12,8,12,,13,15,14,19,,27,33,36,39,,4,38,61,72,,2,7,10,14,,12,17,19,16,,1,4,15,17,,8,19,19,20,
90236B4C236E,2,3,74,86,97,,,18,,,7,,,6,9,8,,,20,23,27,,,28,43,48,,,14,32,53,,,5,9,11,,,14,16,16,,,2,11,15,,,13,14,14,,
1840FF0DE1C6,2,3,70,82,93,105,,,12,,7,11,,2,9,11,12,,9,9,13,15,,14,34,31,43,,1,13,12,21,,,3,4,7,,7,13,16,16,,0,2,1,4,,11,11,18,20,
CA608ABD9DAC,1,3,59,70,,94,,,6,,,2,,,3,,8,,6,7,,12,,,12,,24,,0,1,,19,,,0,,3,,2,9,,15,,0,0,,4,,10,10,,17,
E358B13E6D98,1,3,85,95,108,120,,7,13,,2,5,,4,5,5,6,,7,7,10,13,,16,17,23,28,,10,11,15,23,,2,1,5,5,,10,11,13,14,,1,0,1,1,,9,9,15,17,
36E822E5451D,1,3,83,93,106,,,15,,,7,,,6,8,8,,,22,17,21,,,16,29,38,,,17,27,50,,,4,5,9,,,11,14,17,,,0,3,12,,,13,14,19,,
7D859C07F9BF,1,3,62,73,83,98,,8,17,,6,10,,4,6,7,11,,6,20,16,23,,24,30,31,35,,0,6,10,19,,,0,1,4,,6,16,15,18,,0,1,0,4,,14,13,16,16,
DDB8B89AC525,1,3,83,91,102,115,,19,23,,7,12,,8,9,11,16,,16,18,21,21,,36,36,44,47,,23,41,56,65,,5,8,10,13,,19,17,19,20,,5,13,17,18,,18,20,20,21,
D78B7FEECD64,1,3,73,81,93,105,,,8,,4,12,,,8,9,11,,,14,18,17,,23,26,41,49,,4,15,24,37,,,4,7,7,,,13,16,17,,0,2,4,10,,12,15,17,18,
39521837BC51,2,3,61,73,84,,,,,,5,,,3,6,7,,,10,13,14,,,16,23,36,,,1,12,23,,,0,3,7,,,7,12,10,,,0,1,4,,,8,9,14,,
FBAAD5DCFF2B,2,3,63,,82,94,,,4,,4,5,,6,,9,11,,14,,21,18,,22,,33,28,,1,,39,70,,0,,6,13,,11,,18,18,,0,,11,16,,15,,15,20,
37686EA8A7B4,1,3,56,63,75,87,,,,,3,4,,0,1,8,8,,9,12,14,14,,6,17,24,38,,0,1,14,49,,0,0,5,12,,7,8,9,16,,0,0,0,11,,9,15,13,15,
